output,feature_set,model,n_train,n_test,r2,rmse,mae,rmse_mean_base,rmse_pers_base,skill_vs_mean,skill_vs_pers,error_type
Stage2.M1,controlled,rf,9337,4022,-3.1136,0.7262,0.6197,0.4906,0.2033,-0.4802,-2.5722,bias
Stage2.M1,controlled,hgb,9337,4022,-5.2508,0.8952,0.7813,0.4906,0.2033,-0.8246,-3.4035,bias
Stage2.M1,ctrl+measured,ridge,9337,4022,-15.5673,1.4573,1.3053,0.4906,0.2033,-1.9705,-6.169,bias
Stage2.M1,ctrl+measured,rf,9337,4022,-3.6216,0.7697,0.6452,0.4906,0.2033,-0.5689,-2.7864,bias
Stage2.M1,ctrl+measured,hgb,9337,4022,-3.1788,0.7319,0.6248,0.4906,0.2033,-0.4918,-2.6004,bias
Stage2.M1,ctrl+lag,ridge,8666,3735,0.6016,0.2256,0.1705,0.4649,0.2063,0.5148,-0.0931,bias
Stage2.M1,ctrl+lag,rf,8666,3735,0.6617,0.2078,0.1512,0.4649,0.2063,0.5529,-0.0073,bias
Stage2.M1,ctrl+lag,hgb,8666,3735,0.6825,0.2014,0.1416,0.4649,0.2063,0.5669,0.0241,bias
Stage2.M2,controlled,ridge,9387,4044,-10.6961,0.9542,0.787,0.4174,0.2608,-1.2863,-2.6588,variability
Stage2.M2,controlled,rf,9387,4044,-0.7601,0.3702,0.2689,0.4174,0.2608,0.1131,-0.4194,variability
Stage2.M2,controlled,hgb,9387,4044,-0.921,0.3867,0.2801,0.4174,0.2608,0.0735,-0.4828,variability
Stage2.M2,ctrl+measured,ridge,9387,4044,-14.4641,1.0972,0.9555,0.4174,0.2608,-1.6288,-3.2071,variability
Stage2.M2,ctrl+measured,rf,9387,4044,-0.4447,0.3353,0.237,0.4174,0.2608,0.1965,-0.2859,variability
Stage2.M2,ctrl+measured,hgb,9387,4044,-0.522,0.3442,0.2502,0.4174,0.2608,0.1753,-0.3198,variability
Stage2.M2,ctrl+lag,ridge,8914,3841,0.2038,0.2523,0.1487,0.3618,0.2652,0.3026,0.0484,variability
Stage2.M2,ctrl+lag,rf,8914,3841,-0.9128,0.3911,0.2303,0.3618,0.2652,-0.0811,-0.4749,variability
Stage2.M2,ctrl+lag,hgb,8914,3841,-0.0432,0.2888,0.1583,0.3618,0.2652,0.2017,-0.0892,variability
Stage2.M3,controlled,ridge,9270,3993,-3.5987,0.7155,0.6367,0.9877,0.1738,0.2757,-3.1176,variability
Stage2.M3,controlled,rf,9270,3993,-11.7213,1.19,1.13,0.9877,0.1738,-0.2047,-5.8486,variability
Stage2.M3,controlled,hgb,9270,3993,-4.8161,0.8046,0.7418,0.9877,0.1738,0.1854,-3.6307,variability
Stage2.M3,ctrl+measured,ridge,9270,3993,-4.4401,0.7782,0.6698,0.9877,0.1738,0.2122,-3.4785,variability
Stage2.M3,ctrl+measured,rf,9270,3993,-9.5482,1.0836,1.0391,0.9877,0.1738,-0.097,-5.2362,variability
Stage2.M3,ctrl+measured,hgb,9270,3993,-5.7881,0.8693,0.7947,0.9877,0.1738,0.12,-4.0027,variability
Stage2.M3,ctrl+lag,ridge,8917,3842,0.5353,0.2179,0.1747,0.9819,0.1762,0.778,-0.2367,variability
