column,role,stage,machine,dtype,n_unique,note,min,max,mean,std,zero_pct,n_changes
Stage2.Output.Measurement3.U.Actual,output_actual,stage2_out,-,float64,388,,-0.0,25.22,20.423,0.645,5.5,10507.0
Stage2.Output.Measurement3.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,20.73,20.73,20.73,0.0,0.0,1.0
Stage2.Output.Measurement4.U.Actual,output_actual,stage2_out,-,float64,367,,-0.0,34.29,30.928,4.6471,90.5,1291.0
Stage2.Output.Measurement4.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,31.36,31.36,31.36,0.0,0.0,1.0
Stage2.Output.Measurement5.U.Actual,output_actual,stage2_out,-,float64,215,,-0.0,8.11,2.781,0.227,1.3,10933.0
Stage2.Output.Measurement5.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,2.71,2.71,2.71,0.0,0.0,1.0
Stage2.Output.Measurement6.U.Actual,output_actual,stage2_out,-,float64,205,,-0.0,3.31,0.539,0.1965,1.3,11248.0
Stage2.Output.Measurement6.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,0.01,0.01,0.01,0.0,0.0,1.0
Stage2.Output.Measurement7.U.Actual,output_actual,stage2_out,-,float64,235,,-0.0,7.45,2.986,0.2366,2.5,10187.0
Stage2.Output.Measurement7.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,2.75,2.75,2.75,0.0,0.0,1.0
Stage2.Output.Measurement8.U.Actual,output_actual,stage2_out,-,float64,274,,-0.0,24.756,19.716,0.5186,6.9,11000.0
Stage2.Output.Measurement8.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,19.39,19.39,19.39,0.0,0.0,1.0
Stage2.Output.Measurement9.U.Actual,output_actual,stage2_out,-,float64,173,,-0.004,18.36,16.589,0.6713,29.8,7965.0
Stage2.Output.Measurement9.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,16.47,16.47,16.47,0.0,0.0,1.0
Stage2.Output.Measurement10.U.Actual,output_actual,stage2_out,-,float64,155,,-0.0,8.59,7.892,0.1707,4.5,10711.0
Stage2.Output.Measurement10.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,7.93,7.93,7.93,0.0,0.0,1.0
Stage2.Output.Measurement11.U.Actual,output_actual,stage2_out,-,float64,161,,-0.0,6.32,5.669,0.1741,4.5,10569.0
Stage2.Output.Measurement11.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,5.65,5.65,5.65,0.0,0.0,1.0
Stage2.Output.Measurement12.U.Actual,output_actual,stage2_out,-,float64,172,,-0.0,5.2,2.009,0.3189,1.8,10602.0
Stage2.Output.Measurement12.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,1.85,1.85,1.85,0.0,0.0,1.0
Stage2.Output.Measurement13.U.Actual,output_actual,stage2_out,-,float64,244,,-0.0,8.0,3.584,0.2335,1.4,10903.0
Stage2.Output.Measurement13.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,2.89,2.89,2.89,0.0,0.0,1.0
Stage2.Output.Measurement14.U.Actual,output_actual,stage2_out,-,float64,396,,-3.437,14.26,8.036,0.6771,6.5,10989.0
Stage2.Output.Measurement14.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,11.71,11.71,11.71,0.0,0.0,1.0
